:-------------------------------------------:
		  Map List
:-------------------------------------------:
Map Command			Map Name
:-------------------------------------------:
uMad? Map Pack V2.0 LTS
:-------------------------------------------:
um_antioch				Antioch
um_bespin				Bespin Streets
um_bouncy				Bouncy Arena (rockets)
um_bouncybash			Bouncy Bash (ninjas)
um_castlevania			Castlevania
um_crazyrace			Jack's Crazy Race
um_downfall				Downfall
um_downfall_guns		Downfall, Guns FA version
um_football				Football (soccer)
um_goodandevil			Good and Evil
um_hammertime			Hammer Time
um_jawarace				Jawa Race
um_lasertag				Laser Tag
um_lavaparty			Lava Party
um_medievil				Medievil Battles
um_nightmare			Nightmare
um_pirvsnin				Pirates vs Ninjas
um_pistolduel			Pistol Duel
um_poolparty			Pool Party 2
um_prisonraid_v4		Prison Raid V4
um_ragnosbattle			Swoop Battle sans Swoops
um_rockettennis			Rocket Tennis
um_sniperlabs			Sniper Labs
um_spacerace			Space Race
um_swoopbattle			Swoop Battle
um_swooprace			Swoop Race
um_throwthemin			Throw Them In
um_xwing				X-Wing vs TIE Fighter
